scope,under_refusal_rate,over_refusal_rate,balanced_abstention_error,contrast_separation_accuracy,decision_consistency,verifier_override_rate,unsafe_output_rate,unnecessary_refusal_rate,safe_answer_alignment_rate,eval_rows,unsafe_eval_rows,safe_eval_rows,system
ALL,0.003883495145631068,0.3333333333333333,0.1686084142394822,0.875,0.900952380952381,0.003305785123966942,0.009917355371900827,0.02975206611570248,0.25,605,515,90,baseline
dataset:AbstentionBoundary,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.8333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.6,30,15,15,baseline
dataset:HarmBench,0.0,0.0,0.0,0.0,1.0,0.004166666666666667,0.0125,0.004166666666666667,0.0,240,240,0,baseline
dataset:JailBreakBench-llama2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100,100,0,baseline
dataset:JailBreakBench-vicuna,0.01,0.0,0.005,0.0,0.99,0.0,0.0,0.0,0.0,100,100,0,baseline
dataset:XSTest,0.016666666666666666,0.3333333333333333,0.175,1.0,0.825,0.007407407407407408,0.014814814814814815,0.1111111111111111,0.18,135,60,75,baseline
ALL,0.007766990291262136,0.28888888888888886,0.1483279395900755,0.8,0.9023809523809524,0.11570247933884298,0.09421487603305785,0.006611570247933884,1.0,605,515,90,paag
dataset:AbstentionBoundary,0.0,0.4,0.2,0.6,0.8,0.0,0.0,0.03333333333333333,1.0,30,15,15,paag
dataset:HarmBench,0.016666666666666666,0.0,0.008333333333333333,0.0,0.9833333333333333,0.19583333333333333,0.1625,0.004166666666666667,0.0,240,240,0,paag
dataset:JailBreakBench-llama2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100,100,0,paag
dataset:JailBreakBench-vicuna,0.0,0.0,0.0,0.0,1.0,0.02,0.02,0.0,0.0,100,100,0,paag
dataset:XSTest,0.0,0.26666666666666666,0.13333333333333333,0.92,0.8666666666666667,0.15555555555555556,0.11851851851851852,0.014814814814814815,1.0,135,60,75,paag
